Gene	Length	logFC.treatmentWT	logFC.treatmentRT	logFC.treatmentDT	logCPM	F	PValue	FDR
AT1G21240	2422	2.96674870724312	3.73719687722548	8.05969277837345	4.03586479437927	576.740158112089	3.43739102917616e-19	5.57097964098581e-15
AT3G15536	495	1.33337783099972	2.73009655421166	5.81915158838135	2.28166546931095	473.063286942686	1.50862327673861e-18	1.22251287230513e-14
AT1G09932	1443	1.88438552775235	3.32429434612584	5.70750687731262	3.36001542119248	385.80367218157	1.09314537007994e-17	5.90553567096188e-14
AT4G00700	3611	1.13613808299321	2.63005774465598	6.30082997691476	4.40526263739088	396.346957577737	2.92844889255497e-17	9.71773371410439e-14
AT2G38860	2127	-0.0711081259404401	-0.178709285473017	3.025976895946	5.62159275758855	360.989990201286	2.99800509474437e-17	9.71773371410439e-14
AT3G13950	1206	1.78454255621318	2.46089513277421	6.45963352846695	2.5039700805954	338.33086398713	3.89902342318321e-17	1.05319121032551e-13
AT4G36670	1911	0.611272406076734	1.96815164458232	3.41744902988545	5.94484244999078	325.563052258757	6.74123317680004e-17	1.47424036320161e-13
AT2G31865	2013	0.730324408532344	2.12938616629348	3.96604237085709	4.70787696057704	325.483908403017	7.27705491800633e-17	1.47424036320161e-13
AT4G39830	2186	0.477941411021136	2.15496259593404	4.82266846692111	3.48634953215219	303.505724995553	1.27482349598723e-16	2.05734925972268e-13
AT3G28510	1960	3.4426076564744	3.6323332191019	8.41357560353016	5.05771445724807	375.071234515331	1.33238206269542e-16	2.05734925972268e-13
AT2G32680	2846	1.45787699209485	2.54024613521304	4.89505444803751	4.78457505536138	323.730367845612	1.39636218035105e-16	2.05734925972268e-13
AT3G25020	3121	0.371368429809308	0.485196792443176	2.6180822119493	4.43766590464665	288.818800836375	1.79689490739909e-16	2.42685631368475e-13
AT1G65510	605	1.51189307180407	3.58465653303564	5.91424002618456	2.27246962516889	278.391149509653	2.56095828103035e-16	3.01952530001482e-13
AT1G78290	1868	-0.799635517874126	-0.845459981074467	2.1353357897388	4.62413021496995	278.263820668462	2.60833924848568e-16	3.01952530001482e-13
AT5G10760	1968	2.28144061441	3.49838595857668	6.05836666025556	7.13388912141417	329.311299564794	2.84898133304862e-16	3.02238471717687e-13
AT4G23150	2236	1.66797375971496	2.51447626157939	5.11008871069845	3.37930656308542	274.920834923382	2.98378203707224e-16	3.02238471717687e-13
AT3G25010	2880	0.818763218405811	1.79572330088823	3.97192556716336	4.30335566957072	278.433773860309	3.22468407232001e-16	3.0742620447112e-13
AT2G18690	1974	1.87509409783669	2.69979065869805	6.00390990071264	5.45700709100569	322.728217480672	3.94987276025315e-16	3.50957944973462e-13
AT2G35980	1048	2.81592393073027	3.93503344006617	8.32053396381922	2.11775905515073	265.011006354846	4.11439560344035e-16	3.50957944973462e-13
AT3G50770	926	1.53148561639504	2.93610654039548	6.53706279810122	3.79668525257557	282.931025307169	6.81654851044861e-16	5.52379008544203e-13
AT5G46050	2186	1.014734837278	2.6431404035671	5.44733259905679	4.14464801431919	274.567964098764	8.61738562948231e-16	6.58778533325784e-13
AT2G14610	902	-0.561830511165822	-1.05959035830587	7.41394779426829	4.32227510197368	306.073242199458	1.07507923289957e-15	7.57556918591453e-13
AT1G66880	5006	0.509601497748383	1.42514483532347	2.97583434739487	6.53573744841897	243.878256505075	1.1408284753865e-15	7.70391962524543e-13
AT1G33560	2929	0.76604524785755	1.60596664676073	3.13511929076429	3.61189555295677	234.591146757866	1.32698165807879e-15	8.30581163946908e-13
AT1G76970	2476	0.0773614196431045	0.814588875608887	2.16111089217391	4.20316736685378	234.490443248034	1.33245574521007e-15	8.30581163946908e-13
AT3G52430	2255	0.470605942235125	0.645758213687817	2.43888507132338	5.77795378008233	231.075697206985	1.53363944295666e-15	9.20581275999945e-13
AT3G50480	1109	0.855907427486381	1.33499090533019	3.37798042306031	7.77441472555554	226.235838844381	3.2825616320548e-15	1.83449918519697e-12
AT1G66465	1302	0.301528794515888	1.87815486936105	4.74018956615122	2.72464226201898	211.595851608206	3.60806177473532e-15	1.94919523943784e-12
AT1G66960	3162	1.50280079536945	3.34301371764796	5.98298349935437	2.67282561483314	211.84309883111	3.96801849760084e-15	2.07450567066506e-12
AT3G26230	1852	0.555106236341793	1.27274817201434	2.85909295601588	4.75810997297368	209.863606999838	4.13623328409517e-15	2.09487290110407e-12
AT5G60800	1380	0.0657270951746387	0.111814021047833	3.05778601241499	3.5674127542011	204.333893776606	5.03604768429217e-15	2.47330984300979e-12
